id,university,lon,lat,property,location,campussetting,specializationnux,specializationndata,specializationgame,specializationcode
U1,MIT,-71.0942,42.3601,private,"Cambridge, MA",Urban,1,1,1,1
U2,UM,-80.2771,25.7192,Private,"Coral Gobals, FL",Suburban,1,1,0,1
U3,Univerisy of Washington,-122.2727,47.655548,Public,"Seatle, WA",Urban,0,1,0,1
U4,UC Berkeley,-122.2727,37.8716,Public,"Berkeley, CA",Suburban,1,1,0,1
U5,University of Michigan,-42.278,83.7382,Public,"Ann Arbor, MI",Urban,0,1,0,1
U6,University of Maryland,-76.9426,38.9869,Public,"College Park, MD",Suburban,1,1,1,1
U7,Carnegie Mellon University (CMU),-79.943,40.4428,Private,"Pittsburgh_, Pennsylvania,",Urban,1,1,0,1
